Europese Commissie;De Europese Commissie is een instelling van de Europese Unie die Europese wetgeving voorstelt en het beleid van de EU uitvoert. De Commissie bestaat uit commissarissen met elk hun eigen bevoegdheid en wordt geleid door de Commissievoorzitter.
euthanasie;Iemand die ondraaglijk fysiek of psychisch leidt en in een medisch uitzichtloze situatie zit, kan aan een arts vragen om zijn leven te laten beëindigen. In België is euthanasie sinds 2002 wettelijk toegelaten onder bepaalde voorwaarden.
fusie;We spreken van een fusie wanneer twee of meer afzonderlijke gemeenten samensmelten tot één nieuwe gemeente.
gaspijpleidingen;Om gas te transporteren over grote afstanden, wordt gebruik gemaakt van pijpleidingen boven, op of onder de grond.
genetisch gewijzigde gewassen;Genetisch gewijzigde gewassen zijn gewassen waarvan wetenschappers de DNA-structuur hebben aangepast om ze ondermeer beter bestand te maken tegen ziektes en de opbrengst te verhogen.
geslachtscategorie;Traditioneel worden mensen opgedeeld als ofwel man ofwel vrouw, naargelang hun geslacht. Sommige landen laten ook een derde geslachtscategorie toe voor mensen die zich noch mannelijk, noch vrouwelijk voelen.
gezinshereniging;Een vreemdeling die een vast verblijfsstatuut heeft in België, kan zijn of haar echtgenoot/echtgenote en minderjarige kinderen onder bepaalde voorwaarden laten overkomen vanuit het buitenland.
glyfosaat;Glyfosaat is een chemische stof die gebruikt wordt in onkruidverdelgers zoals Roundup. Er is al jarenlang felle discussie over de vraag of glyfosaat al dan niet kankerverwekkend is.
grenscontroles;Grenzen tussen landen worden doorgaans bewaakt. Wanneer je de grens oversteekt, kunnen je papieren of je bagage gecontroleerd worden. Binnen de Schengenzone in Europa zijn die interne grenscontroles afgeschaft, al kunnen er uitzonderlijk toch controles zijn, bijvoorbeeld bij terreuraanslagen of een vluchtelingencrisis.
huurwaarborg;Wanneer je een huis of appartement huurt, kan de verhuurder je vragen om een waarborg te storten bij de start van het huurcontract. Op het einde van de huur krijgt de huurder de waarborg volledig terug, tenzij er schade is aan het gehuurde appartement of huis. De huurwaarborg mag op dit moment maximum 3 maanden huur bedragen.
inkomensgrens voor huursubsidies;Wie een laag inkomen heeft, kan van de Vlaamse overheid onder bepaalde voorwaarden een financiële tegemoetkoming krijgen voor het huren van een woning. Een van de voorwaarden op dit moment is dat het totale inkomen van het huishouden van drie jaar voor de aanvraag niet hoger mag zijn dan 18.240 euro
isolatienormen;Om onnodig verlies van energie tegen te gaan, gelden in Vlaanderen isolatienormen voor woningen. Het dak moet bijvoorbeeld geïsoleerd zijn. Wie niet voldoet aan de normen, krijgt strafpunten. Dat kan leiden tot ongeschiktverklaring van de woning.
kavels;Een kavel is een afgebakend stuk grond. Op een bouwkavel mag gebouwd worden.
kinderbijslag;Ouders krijgen van de overheid een financiële tussenkomst voor het grootbrengen van hun kinderen. Voor kinderen geboren vanaf 1 januari 2019 geldt in Vlaanderen het nieuwe systeem van kinderbijslag, het “groeipakket” waarbij je als ouder voor elk kind 163,20 euro per maand krijgt.
Leefloners;Mensen die leven van een leefloon. Voor een alleenstaande gaat het om een maandelijks bedrag van 910,52 euro.
leefloon;Wie geen of een erg laag inkomen heeft, kan bij het OCMW financiële hulp vragen in de vorm van een leefloon. Voor een alleenstaande gaat het om een maandelijks bedrag van 910,52 euro.
leerplicht;Leerplicht is de wettelijke verplichting om kinderen onderwijs te laten volgen. Dit is geen schoolplicht. Ook thuisonderwijs is wettelijk toegelaten.
maximumfactuur;Het basisonderwijs in Vlaanderen is gratis. Ouders moeten geen inschrijvingsgeld betalen. Ook basiszaken zoals schoolboeken, schrijfgerief, een passer of fotokopieën moet de school voorzien. De maximumfactuur legt daarnaast vast hoeveel lagere scholen bijkomend mogen doorrekenen voor zaken die niet onder de eindtermen vallen, zoals bijvoorbeeld een museumbezoek of daguitstappen.
ngo's;Niet-gouvernementele organisaties zijn organisatie die geen onderdeel uitmaken de overheid maar wel een bepaald maatschappelijk doel nastreven. Ze zijn onder meer bezig met milieubescherming of ontwikkelingswerk. Bekende voorbeelden zijn Greenpeace of Artsen zonder grenzen.
nieuwkomers;Mensen die niet in België geboren zijn en nu in België wonen.
openbaar rusthuis;Een woonzorgcentrum (of rusthuis) biedt permanente opvang en verzorging aan ouderen. Een openbaar rusthuis wordt uitgebaat door de overheid.
oriëntatieproef;Een oriëntatieproef test de kennis van de leerling om zo na te gaan voor welke studierichtingen de leerling het best is voorbereid.
particulieren;Particulieren zijn individuele burgers, in tegenstelling tot organisaties, bedrijven of de overheid.
pendelaars;Pendelaars zijn mensen die elke dag heen en weer reizen tussen waar ze wonen en waar ze werken.
pensioensparen;Bij pensioensparen zet de burger of diens werkgever zelf geld opzij op een persoonlijke termijnrekening die bij pensionering kan opgenomen worden. Dit in tegenstelling tot het wettelijke pensioen dat betaald wordt door de overheid
persvrijheid;Vrijheid van journalisten om onderzoek te doen naar feiten en omstandigheden en daar zonder censuur over te publiceren.
praktijktesten;Bij praktijktesten wordt door middel van anonieme inspecties nagegaan of een bepaalde organisatie of bedrijf zich niet schuldig maakt aan wettelijke overtredingen, bijvoorbeeld op vlak van discriminatie.
radiofrequenties;Elk radiostation zendt uit op een bepaalde plaats op de FM-band, frequentie genaamd.
referendum;Bij een volksraadpleging of referendum spreken de burgers zich in een stemming uit voor of tegen een concrete beleidsmaatregel. Zo'n stemming kan bindend zijn of niet.
robottaks;Een robottaks belast het automatiseren van economische activiteiten wanneer daardoor jobs verloren gaan.
sociale bevoegdheden;Dit zijn de bevoegdheden inzake werkgelegenheid en sociale zaken.
spermadonatie;Bij spermadonatie staat een man sperma af aan een spermabank. Het sperma wordt gebruikt voor de bevruchting van vrouwen die een vruchtbaarheidsbehandeling ondergaan.
statiegeld;Statiegeld is een klein bedrag dat extra wordt betaald bij de aankoop van een product en wordt terugbetaald wanneer de koper de verpakking van het product na gebruik weer inlevert.
strafpunten;Bij een rijbewijs met strafpunten krijg je strafpunten als je betrapt wordt op verkeersovertredingen, zoals bijvoorbeeld dronken rijden. Wie te veel strafpunten heeft, speelt zijn rijbewijs kwijt.
trajectcontroles;Bij trajectcontroles wordt de snelheid op de weg gemeten over langere afstand. Dit in tegenstelling tot een flitspaal die op een bepaald punt de snelheid registreert.
transmigranten;Transmigranten zijn migranten die illegaal op het Belgisch grondgebied verblijven en hier geen asiel aanvragen omdat ze naar andere landen (vaak Groot-Brittannië) proberen door te reizen.
vaderschapsverlof;Wie vader wordt, heeft in België recht op tien werkdagen vaderschapsverlof. De tien dagen moeten, niet noodzakelijk aaneensluitend, binnen de 4 maanden vanaf de dag van de bevalling worden opgenomen.
vaste benoeming;Personeel bij de overheid kan contractueel of vastbenoemd zijn. Contractuelen hebben, zoals in de privé, een opzegbare arbeidsovereenkomst van bepaalde of onbepaalde duur. Vastbenoemde ambtenaren blijven daarentegen in principe in dienst tot aan hun pensionering.
VDAB;De Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding, kortweg VDAB, is een Vlaamse overheidsdienst die vooral als taak heeft werkzoekenden te begeleiden naar werk.
verkavelingen;Een verkaveling is het opdelen van een stuk grond in verschillende, te bebouwen, kavels.
vermogens;Iemands vermogen bestaat uit de waarde van alle bezittingen en spaartegoeden, minus de uitstaande schulden (bijvoorbeeld op een nog af te betalen huis).
vluchtelingen;Vluchtelingen zijn mensen op de vlucht voor oorlog of vervolging.
zomeruur of winteruur;Zomertijd of zomeruur is de tijd die tussen de laatste zondag van maart tot de laatste zondag van oktober wordt aangehouden door de klok een uur voor te laten lopen op de standaardtijd (of wintertijd). Hierdoor is het 's morgens langer donker en blijft het 's avonds langer klaar.
zwaar beroep;In het kader van het optrekken van de pensioenleeftijd en het uit te werken pensioen met punten, zouden mensen die een zwaar beroep uitoefenen, sneller met pensioen kunnen gaan.
