Stelling;Verkorte omschrijving;Antwoord CD&V;Motivatie CD&V;Antwoord Groen;Motivatie Groen;Antwoord N-VA;Motivatie N-VA;Antwoord Open VLD;Motivatie Open VLD;Antwoord Sp.a;Motivatie Sp.a;Antwoord Vlaams Belang;Motivatie Vlaams Belang;Antwoord PvdA;Motivatie PvdA
De kavels waarop woningen kunnen worden gebouwd, moeten kleiner worden;Kleinere kavels;1;We moeten gaan naar kleinere private kavels en meer publiek gemeenschappelijk groen.;1;In de feiten worden woonkavels jaar na jaar al kleiner. Het is vooral belangrijk dat er voldoende passende woningen gerealiseerd worden in de toekomst zonder dat daarbij waardevolle open ruimte verdwijnt.;1;Om onze open ruimte te vrijwaren, moeten we onze bebouwde ruimte efficiënter inrichten, wat in sommige gevallen betekent dat we meer woningen op dezelfde oppervlakte moeten bouwen zonder in te boeten op woon- en leefkwaliteit.;0;Bouwgronden worden alsmaar kleiner. Daar is geen verplichting voor nodig, die evolutie komt spontaan. Grotere stukken kunnen worden gebruikt voor multifunctionele gebouwen of cohousing-projecten.;1;We bouwen compacter en efficiënter, zetten gedurfd in op hoogbouw, alternatieve bouwdichtheden en gemeenschappelijk ruimtegebruik om zo maximaal open ruimte en groen te creëren. ;0;Mensen moeten zelf kunnen kiezen hoe ze willen wonen. Dat houdt in dat zij er ook voor moeten kunnen kiezen kleiner te wonen, op een kleinere kavel. De overheid moet dat faciliteren door toe te laten dat kavels worden opgedeeld, maar niet opleggen.;1;Door kleinere kavels te voorzien gaan we slimmer om met de schaarse vrije ruimte, en beschermen we groengebied.
Vlaanderen moet minder geld besteden aan ontwikkelingshulp;Minder ontwikkelingshulp;0;De Vlaamse Ontwikkelingssamenwerking is vandaag beperkt tot 3 landen in zuidelijk Afrika, maar is zeer zinvol.;0;Ontwikkelingshulp is een federale bevoegdheid. Dan neemt niet weg dat Vlaanderen bijkomend aan ontwikkelingssamenwerking kan doen en doet. Belangrijk is dat Vlaanderen ook haar internationale opdracht voor klimaatfinanciering nakomt.;0;Wel moeten er duidelijke voorwaarden gekoppeld worden aan het verkrijgen van ontwikkelingssamenwerking. ;0;We doen heel wat inspanningen voor internationale ontwikkeling. We moeten vooral ervoor zorgen dat onze middelen efficiënt en effectief worden ingezet voor meer impact. Het huidige budget moet niet dalen.;0;We besteden vandaag slechts 0,45 % van het bbp aan ontwikkelingshulp terwijl we ons land zich geëngageerd heeft tot méér.  ;1;De gelden voor ontwikkelingssamenwerking moeten in eerste instantie worden geïnvesteerd in de herkomstlanden van de immigratie en afhankelijk gemaakt worden van de bereidheid van die landen om door ons uitgewezen vreemdelingen opnieuw op te nemen.;0;Armoede en ongelijkheid zorgen voor honger, ziekte en oorlog. Veel mensen ontvluchten hun moeilijke leefomstandigheden. Wij pleiten voor eerlijke handel, internationale solidariteit en meer ontwikkelingssamenwerking.
Ook in het middelbaar onderwijs moet er een maximumfactuur voor de ouders komen;Maximumfactuur middelbaar onderwijs;0;Een maximumfactuur in het middelbaar is moeilijk in te voeren omdat er grote verschillen zijn tussen richtingen op vlak van benodigd materiaal. We zetten wel in op kostenbeheersing binnen scholen.;1;Schoolkosten stijgen exponentieel naarmate je zoon of dochter ouder wordt. De maximumfactuur zet scholen aan tot een kostenbesparend beleid. We willen voor verschillende groepen studierichtingen een apart bedrag als maximumfactuur voorop stellen.;0;Scholen zijn te divers om in één regeling te vatten. We vragen scholen om zelf actief aan kostenbeheersing te doen, aan het begin van het jaar een kostenraming mee te geven en in dialoog te treden met ouders met betalingsmoeilijkheden. ;0;Kosten moeten transparant zijn zodat iedereen op voorhand weet wat hem of haar te wachten staat. Maar we willen niet dat scholen beperkt worden om activiteiten te organiseren.;1;Een schoolfactuur mag nooit een financiële of mentale last vormen voor de ouder(s).;1;De veelheid van studierichtingen in het secundair onderwijs maakt een maximumfactuur moeilijker realiseerbaar. Toch moet ook daar een naar studierichting gediversifieerde maximumfactuur komen om de kostprijs voor ouders en leerlingen te beperken.;1;De schoolkosten swingen de pan uit. Gezinnen die het niet breed hebben vermijden dure studierichtingen. Om onderwijs voor iedereen betaalbaar te houden, voeren we een maximumfactuur in voor het middelbaar onderwijs, als stap naar gratis onderwijs.
Buslijnen met weinig passagiers moeten afgeschaft worden;Buslijnen afschaffen;0;Ook landelijke gebieden recht op openbaar vervoer. Voor sommige verbindingen kan de taxi wel een efficiënter alternatief zijn.;0;Volgens onze partij is een afbouw van de dienstverlening asociaal en een slechte zaak voor de reizigers en het leefmilieu. Iedereen moet kunnen vertrouwen op het openbaar vervoer voor zijn verplaatsingen.;1;Het aanbod van het openbaar vervoer moet de vraag volgen. We laten de bussen rijden waar de meeste reizigers zijn. Lokale besturen krijgen mee inspraak in welke buslijnen er bijkomen, welke kunnen verdwijnen en welke alternatieven worden voorzien.;0;We schaffen geen buslijnen af zonder degelijk alternatief.;0;We zorgen dat iedereen toegang heeft tot het openbaar vervoer. In de dunst bevolkte gebieden voorzien we belbussen.;0;Wij pleiten voor een toegankelijk busvervoer. Dat wil ook zeggen dat routes, stopplaatsen en de frequentie van verbindingen moeten kunnen worden aangepast indien daaraan aantoonbaar nood is, maar niet dat lijnen resoluut worden opgeheven.;0;Het openbaar vervoer maak je niet aantrekkelijker door buslijnen af te schaffen. We moeten net méér investeren in beter en betaalbaar openbaar vervoer, met betere verbindingen en meer comfort.
Er mag geen statiegeld ingevoerd worden op drankblikjes;Statiegeld drankblikjes;0;Onze partij wil statiegeld op blikjes en plastic flessen. Dit is voor ons een prioriteit in de strijd tegen afval.;0;Statiegeld invoeren kan in één klap 40% van het zwerfvuil reduceren. Bovendien zorgt zo’n terugbrengsysteem ervoor dat we selectiever inzamelen, wat mogelijkheden biedt voor hergebruik en hoogwaardige recyclage. ;1;De negatieve effecten van een dergelijk statiegeldsysteem wegen zwaarder door dan de potentiële winsten die zouden kunnen worden geboekt t.a.v. zwerfvuil. Met name de administratieve en logistieke last die zal leiden tot hogere prijzen.;1;Zwerfvuil is een ergerlijk en schadelijk probleem dat streng moet worden aangepakt. Maar voor we als beste sorteerders ter wereld de blauwe PMD-zak vervangen door een systeem van statiegeld moeten we zeker weten dat een nieuw systeem beter is.;0;Een doorgedreven inzameling, hergebruik en recyclage van plastic gaat de vervuiling door zwerfvuil tegen, onder meer via statiegeld en een verbod op wegwerpplastic.;0;De maatregel mag echter niet vervallen tot louter het invoeren van een nieuwe financiële last voor de consument. De consument moet voor deze inspanning, die bijdraagt aan een schoon milieu, beloond worden met de vermindering van een andere heffing.;0;"Statiegeld wérkt, dat bewijzen buitenlandse voorbeelden. Drankblikjes slingeren niet rond, maar worden gerecycleerd. Dat is beter voor het milieu, zonder meerkost voor de consument. 
Verenigingen moeten subsidies krijgen voor een langere periode zodat ze zich daar niet elk jaar voor hoeven te verantwoorden;Subsidies verenigingen;1;Subsidies gebeuren vandaag al vaak voor meerdere jaren. Uiteraard is het wel belangrijk dat de vereniging via haar jaarverslag verantwoordt dat de middelen ook gebruikt zijn waarvoor ze toegekend werden.;1;Structurele financiering is belangrijk om verenigingen onafhankelijk te laten werken en om een kwaliteitsvol personeelsbeleid te voeren.;0;We moeten voorzichtig omspringen met het geld van de belastingbetaler. Het is normaal dat verenigingen die belastinggeld ontvangen, jaarlijkse verantwoorden wat ze met dat geld doen.;1;Financiële zekerheid voor een langere periode geeft organisaties meer perspectief en minder planlast. Het is de bedoeling dat organisaties zich toeleggen op hun core-business en niet bezig moeten zijn met administratie en vragen omtrent financiering.;1;Onze partij pleit voor minder planlast en administratie, zodat organisaties en kunstenaars meer kunnen inzetten op hun hoofdactiviteiten.;0;Overheidsmiddelen vrijgemaakt voor verenigingswerking, moeten efficiënt en gericht worden ingezet. Een permanente evaluatie is op z’n plaats. Een jaarlijkse verantwoording geeft ook de verenigingen de kans hun subsidievraag doelgericht bij te sturen.;1;Tijdelijke, jaarlijkse subsidies zorgen voor veel onzekerheid. In plaats daarvan willen wij langetermijnondersteuning voor verenigingen en een volwaardig sociaal statuut voor cultuurwerkers. Dat geeft zekerheid en stabiliteit.
Vlaamse technologie die in wapens gebruikt kan worden, mag niet meer naar conflictgebieden worden uitgevoerd;Technologie voor wapens;1;Vlaanderen beschikt over strikte regelgeving voor de controle op de uitvoer van strategische goederen (wapens en dual use). In overeenstemming met de internationale regels wordt geen vergunning afgeleverd voor landen die in conflicten betrokken zijn.;1;Wij steunden het Vlaams wapenhandeldecreet. Onze partij vroeg ook strengere garanties opdat er gaan technologie uitgevoerd wordt die ook kan ingezet worden in wapensystemen (de zogenaamde 'dual use') naar conflictgebieden. ;1;We voeren een strikt vergunningsbeleid en houden ons aan internationale verdragen en embargos. Zo voorkomen we dat wapensystemen in gebruik genomen worden door landen die niet stroken met onze ethische en humanitaire waarden en normen.  ;1;Vlaanderen trekt hierin een duidelijke lijn.;1;Wij willen geen wapens naar ‘onrechtsstaten’ zoals Saoedi-Arabië. Een strikt beoordelingsproces en strikt toezicht op het eindgebruik moet voor ons via een nieuwe ‘democratie-clausule’ in het decreet Wapenhandel.;0;Vlaamse bedrijven zijn veelal toeleveranciers. Het is dan ook bijzonder moeilijk voor Vlaamse bedrijven om te voldoen aan nog strengere regels. Dit zou hun concurrentiekracht zwaar aantasten. ;1;We leggen de militaire export aan banden. Vandaag voedt ons land conflicten door de verkoop van wapens en militaire technologie. We schakelen de productie om naar niet-militaire toepassingen, met behoud van alle tewerkstelling en focus op innovatie.
Boerkini's moeten toegelaten worden in openbare zwembaden;Boerkini's zwembaden;0;Boerkini's kunnen  worden verboden als daarvoor een gegronde argumentatie wordt gegeven. ;1;Veiligheid en hygiëne zijn prioritair. De badkledij die daar aan voldoen worden toegelaten. Bovendien is zelfbeschikking een belangrijk uitgangspunt en is het de vrouw die beslist over wat ze dragen wil.;0;Onze partij beschouwt de boerkini als een symbool voor de onderdrukking van de vrouw en deze heeft dan ook geen plaats in de publiek ruimte.;0;Initiatieven die aansturen op gescheiden zwemmen of die afwijken van de algemene kledingvoorschriften omwille van religieuze redenen zijn niet wenselijk. ;0;Een algemene onvoorwaardelijke toelating is niet aangewezen. Voor alle kledingsregels in zwembaden gelden voorwaarden. ;0;Het toelaten van de boerkini is een overwinning voor de extremistische islam die haar wetten en preutsheid aan ons wil opdringen. De gevolgen zullen nefast zijn voor meisjes die niet willen zwemmen in de dwangbuis van de radicale islam.;1;"Zwemkledij moet beantwoorden aan strikte voorwaarden op vlak van hygiëne en veiligheid. Onderzoek wijst echter uit dat de burkini niet minder hygiënisch of minder veilig is dan andere zwemkledij. Er is dus geen reden voor een verbod. 
Scholen moeten zelf kunnen beslissen of ze kinderen die veel extra zorg behoeven, toelaten of niet;Scholen zelf beslissen extra zorg;1;Ja, maar steeds in overleg met de ouders en het CLB. Als de benodigde aanpassingen onredelijk zijn kan de school nu al weigeren.;0;Dit zou leiden tot een onaanvaardbare rechtsonzekerheid voor ouders en kinderen op het moment van inschrijving.  Scholen moeten ondersteund worden om basiszorg en verhoogde zorg aan te bieden en om de nodige redelijke aanpassingen te doen.;1;We sturen het M-decreet bij zodat alle leerlingen maximale leerkansen krijgen. In het gewoon onderwijs als dat kan, al dan niet met extra zorg, maar ook in het buitengewoon onderwijs voor wie het nodig is.;1;Kinderen met extra zorgnoden kunnen niet systematisch geweigerd worden. Maar we moeten meer rekening  met de draagkracht van scholen en meer inzetten op aangepaste ondersteuning voor kinderen met zorgnoden.;1;De finale beslissing tot toelating ligt bij de school. We zorgen wel voor de hoognodige versterking van de zorgondersteuning op school zodat men beter kan omgaan met de vragen van ouders en leerlingen.;1;Ieder kind heeft het recht op kwaliteitsvol onderwijs. De overdracht van kennis en vaardigheid moet de kern van het onderwijs zijn. Daarom moet de school op basis van de competentie van het lerarenkorps oordelen of ze deze leerlingen kan begeleiden. ;0;Elke school moet zijn verantwoordelijkheid nemen. We willen geen elitescholen waar kinderen die extra zorg nodig hebben niet welkom zijn. We zorgen wel voor bijkomende financiële middelen, zodat kinderen ook echt de zorg krijgen die ze verdienen.
De belasting op een tweede woning moet verder verhoogd worden;Belasting tweede woning;0;Tweede woningen zijn meestal huurwoningen en dus ook voor iemand een gezinswoning. De kans is dus groot dat de huurders dit zullen betalen. Puur tweede verblijven zijn een ander verhaal.;1;Tweede woningen worden nu fiscaal op dezelfde manier behandeld als de eerste, eigen woning. Dat is niet logisch. De sterkste schouders moeten de grootste lasten dragen. ;0;Iedereen die een tweede woning heeft betaalt er al onroerende voorheffing op, personenbelasting en lokale belastingen. Hogere belastingen kunnen de private huurmarkt afremmen.;0;Een tweede woning is vaak een vorm van (pensioen)sparen. Geld dat daarin geïnvesteerd wordt, is al meer dan één keer belast.;1;Huurinkomsten  uit opbrengsteigendommen willen we behandelen zoals elk ander inkomen. Een euro is een euro, hoe die ook wordt verdiend. Tegelijk verhogen we het belastingvrij inkomen tot minstens 1000 euro per maand.;0;In dit land met een zeer hoge fiscale en parafiscale druk is het ondenkbaar om nog nieuwe lasten in te voeren, zonder dat andere belastingen verlaagd worden. De totale (para-)fiscale druk mag onder geen geval toenemen en moet op termijn dalen.;0;We voeren progressieve tarieven in voor de onroerende voorheffing, waarbij we rekening houden met het inkomen en de waarde van het vastgoed. Op die manier betalen de rijkste eigenaars méér, maar kleine eigenaars minder.
Je moet worden belast op het gebruik van je auto, niet omdat je er één bezit;Gebruik auto belasten;1;Wij zijn voorstander van een slimme kilometerheffing, waarbij je betaalt voor gebruik van de wagen, niet voor het bezit. Wel enkel op voorwaarde dat mensen een volwaardig alternatief voor de auto hebben.;1;Vandaag betaal je een vast bedrag aan belastingen of je veel of weinig rijdt. Deze belastingen vervangen door een kilometerheffing is de beste manier om het gebruik te beperken, alternatieven aantrekkelijk te maken en de files te bestrijden.;1;We willen de huidige verkeersbelastingen hervormen naar belastingen op basis van gebruik. Zo laten we ook de buitenlanders mee betalen. Dit mag niet leiden tot een belastingverhoging voor de Vlamingen.;1;Om combimobiliteit (bv. auto + trein) te stimuleren moet het bezit van een auto minder belast worden, maar wel het gebruik. Hierdoor wordt het interessanter om verschillende vervoersmodi te combineren. ;1;Onze partij is het eens met het principe dat je vooral het gebruik van de auto belast.;0;De belasting op het gebruik van een auto bestaat al, onder de vorm van torenhoge accijnzen op brandstof.;0;Rekeningrijden is asociaal. Veel werknemers hebben een auto nodig om naar het werk te gaan, omdat alternatieven ontbreken. In plaats van mensen op kosten te jagen kunnen we beter inzetten op beter en gratis openbaar vervoer.
Gemeentebesturen moeten minder mogelijkheden krijgen om de plaatsing van windmolens in hun gemeente tegen te houden;Tegenhouden plaatsing windmolens;0;Het is belangrijk dat gemeentebesturen via de procedure van het openbaar onderzoek rekening kunnen houden met de bezwaren van burgers. Na een weigering van de gemeente is er steeds beroep mogelijk bij de hogere overheid.;1;Lokale besturen die de transitie naar hernieuwbare energie systematisch boycotten moeten overruled kunnen worden. Draagvlak is de sleutel voor goede projecten. In de energietransitie moeten we iedereen aan boord krijgen: burgers maar ook gemeentebesturen.;0;Lokaal draagvlak en de betrokkenheid van de gemeente is belangrijk voor het succes van windmolenprojecten. Tijdige betrokkenheid en het goed infomeren van de bevolking is een must. Eventueel kan Vlaanderen prioritaire zones aanduiden.;1;Vandaag wordt er bijna tegen elke geplande windmolen beroep aangetekend, ook door gemeentebesturen zelf. Nochtans is dit cruciaal om de ambities rond hernieuwbare energie te halen. Daarom willen we kijken hoe we de plaatsing van windmolens makkelijker kunnen maken.;0;We werken een plan uit voor windenergie-zones. Voor de vergunning worden - in overleg met de omwonenden - de nodige maatschappelijke afwegingen gemaakt met het oog op een maximaal draagvlak en zo worden juridische procedures maximaal vermeden.;0;Lokale besturen moeten de argumenten van actiecomités die zich tegen de inplantingen van windturbines in gebieden van open ruimte verzetten, ernstig nemen en principieel negatief adviseren. Een volksraadpleging moet dat advies bindend kunnen maken.;1;Investeren in groene stroom is belangrijk, op voorwaarde dat buurtbewoners inspraak krijgen. We kiezen voor windenergie in handen van burgercoöperaties en publieke energiebedrijven, waarbij de opbrengsten terugvloeien naar de gemeenschap. 
Vlaamse overheidsdiensten moeten een minimumaantal personen met een migratieachtergrond in dienst hebben;Minimumaantal migratieachtergrond in dienst;1;De tewerkstelling bij een overheid moet een afspiegeling zijn van de samenleving.;1;Overheden en sectoren formuleren streefcijfers voor kansengroepen die het zwaarst zijn ondervertegenwoordigd op de arbeidsmarkt. Ze ondernemen acties om deze streefcijfers te behalen en delen de resultaten ervan. ;0;De overheid heeft een voorbeeldfunctie en werkt verder met streefcijfers. De stelregel moet zijn: ‘de beste vrouw/man op de beste plaats’. Zo ontwikkelt ze goede praktijkvoorbeelden die als inspiratie kunnen dienen. ;0;Bijkomende inspanningen om ook mensen met een migratieachtergrond in dienst te nemen zijn dus nodig. Maar om het quota-instrument te gebruiken is het criterium migratieachtergrond niet duidelijk genoeg.;1;Overheidspersoneel moet in haar samenstelling een afspiegeling zijn van de samenstelling van de beroepsbevolking. Aan de hand van positieve acties moeten opgelegde streefcijfers worden behaald.;0;De overheid moet mensen louter op basis van hun capaciteiten en ervaring aanwerven. Positieve discriminatie en andere voorkeursbehandelingen moeten stoppen. Enkel voor gehandicapten willen we het competitief nadeel compenseren met aanwervingsquota.;1;Het aantal mensen met een migratie-achtergrond dat aan de slag is bij de overheid is vandaag nog altijd veel kleiner dan hun aandeel in de samenleving, zeker voor hogere functies. Om die ongelijkheid weg te werken is positieve actie nodig.
Leerlingen van het gemeenschapsonderwijs moeten kunnen kiezen of ze een vak over één bepaalde godsdienst of een vak over alle wereldgodsdiensten volgen;Vak over wereldgodsdiensten;0;We bieden de keuze aan tussen ofwel één van de erkende levensbeschouwingen ofwel geen. Het is zo dat veel scholen ook in het vak godsdienst aandacht hebben voor andere levensbeschouwingen en de verbindingen daartussen.;1;De huidige regeling is achterhaald. Onze partij wil een algemeen vak levensbeschouwing, filosofie en burgerschap introduceren. Leerlingen volgen dat vak samen in plaats van de aparte levensbeschouwelijke vakken van nu.;1;Dit is een keuze van de scholen zelf, maar wij zijn er voorstander van dat leerlingen maximaal kunnen kiezen of ze een vak over één bepaalde erkende levensbeschouwing of een vak over alle levensbeschouwingen volgen.;1;Deze keuze is een eerste stap. Wij pleiten er voor om van godsdienst een keuzevak te maken.;0;We vervangen in alle scholen de gescheiden lessen levensbeschouwing door gezamenlijke lessen burgerschap waarin alle levensbeschouwingen aan bod komen. Gescheiden lessen godsdienst kunnen daarnaast binnen de schoolmuren, maar buiten de schooluren.;0;Er dient geen godsdienst onderwezen te worden in het gemeenschapsonderwijs.;1;Ook zedenleer moet tot de opties behoren. Onze maatschappij kent een grote diversiteit aan geloofsovertuigingen en levensbeschouwingen. Het aanbieden van een overkoepelend overzicht helpt leerlingen om die diversiteit te kaderen.
In plaats van zelf sociale woningen te bouwen, moet de overheid mensen helpen om op de privémarkt te huren;Sociale woningen privémarkt;0;Onze partij vindt dat verschillende initiatieven nodig en nuttig zijn.;0;Om het recht op wonen te versterken, is het nodig dat de overheid sociale woningen bouwt én ondersteuning biedt op de private huurmarkt.;0;Het ene sluit het andere niet uit, we hebben beide nodig. Wij gaan door met de bouw van sociale woningen, maar ook de private huurmarkt kan een grotere rol spelen in de sociale huisvesting.;1;Gelet op de grote noden moeten de middelen zo efficiënt mogelijk ingezet worden. Het toekennen van meer huursubsidies zal een grotere groep mensen kunnen bereiken, dan wanneer de overheid alle woningen zelf probeert te bouwen.;0;De overheid moet het allebei doen: meer sociale woningen bouwen én wie op een wachtlijst staat helpen om te huren op de privé-markt.;0;Naast een beleid dat eigendomsverwerving stimuleert en de private huursector ondersteunt, moet er ook een sociale huisvesting zijn die aan een inkomengerelateerde prijs een kwalitatieve woonst ter beschikking kan stellen.;0;We voeren maximumprijzen voor private huurwoningen, en investeren tegelijk in de bouw en renovatie van energiezuinige sociale woningen. We streven naar 20 % sociale verhuur in elke centrumstad. Voor kleine gemeentes legen we de lat op 10 %.
Wie zijn oude kachel vervangt door een minder vervuilende kachel moet een premie krijgen;Oude kachel vervangen;1;Een premie is het beste instrument om de meest vervuilende kachels er zo snel mogelijk uit te krijgen. Dat heeft het grootste milieu-effect.;1;De meest vervuilende kachels halen we er zo snel mogelijk uit. Maar ook nieuwe kachels stoten nog erg veel fijn stof uit. Daarom zetten we premies best in voor 100% duurzame alternatieven: warmtepompen en aansluiting op warmtenetten.;1;Een kachel van 20 jaar oud voldoet niet aan dezelfde kwaliteitsnormen als de kachels van vandaag. De burger moet hier ook bewust van gemaakt worden.;0;Een milieuvriendelijkere kachel is uiteraard te verkiezen bovenop een oudere kachel die meer fijn stof uitstoot. Wij willen echter geen vervuilende technologieën subsidiëren.;0;Onze partij voorziet een grootschalig renovatieprogramma waarbij de energievoorziening van ons gehele woningenbestand vergroend wordt tegen 2035. Daarin is geen nood voor premies. De netbeheerder financiert de investering voor.;1;Onze partij steunt het gericht inzetten van premies om onze luchtkwaliteit te verbeteren. Het vervangen van oude kachels door ecologischer exemplaren moet worden aangemoedigd.    ;1;Oude kachels zijn bijzonder vervuilend. Daarom willen we investeren in energiezuinige hoogrendementsketels en duurzame warmtenetten. We garanderen hogere premies voor lagere inkomens en maken groene warmte betaalbaar voor iedereen.
Over de besteding van een deel van de Vlaamse begroting moeten de burgers rechtstreeks zelf kunnen beslissen;Begroting burgers beslissen;0;In een democratie is het de regering die een begrotingsvoorstel indient in het Vlaams Parlement.;1;Onze partij wil participatie van burgers actief bevorderen, ook buiten verkiezingsperiodes. Dat kan onder andere door vormen van burgerbudgetten, zoals die bijvoorbeeld ook al in het district Antwerpen en in de stad Gent bestaan.;0;Wij zijn voor een modern beleid waarbij burgers deels mee kunnen beslissen. Maar de begroting is het primaat van de politiek.;1;We geven burgers de mogelijkheid om zelf te beslissen over een deel van het budget. Burgerparticipatie zorgt voor betrokkenheid, verhoogt het draagvlak voor beslissingen en brengt politiek en burger dichter bij elkaar.;1;Onze partij gelooft in burgerparticipatie als belangrijke vorm van democratische inspraak en controle tussen twee verkiezingen in.;0;De burgers kunnen daar in eerste instantie over beslissen door hun stem te geven aan partijen en hun programma’s. Daarnaast wil onze partij dat zij met een bindende volksraadpleging rechtstreeks invloed kunnen uitoefenen op het beleid.;1;Democratie is niet louter een bolletje kleuren. Wij pleiten voor een meer directe inspraak van onderuit. Ook over wetten moeten burgers kunnen beslissen. We zijn dan ook voorstander van een bindend burgerreferendum.
De minimumruimte voor dieren in de veeteelt moet vergroot worden;Minimumruimte veeteelt;0;In Europa zijn de bestaande normen voor minimale ruimte al streng. Er wordt ook toegezien op de naleving. ;1;Alle dieren hebben recht op genoeg bewegingsruimte. We verstrengen de dierenhuisvestingsnormen, beperken van het dierenaantal per stal en garanderen het vrije uitlooprecht. Op termijn herstellen we de natuurlijke levensvoorwaarden voor alle dieren. ;1;Dieren moeten menselijk behandeld worden en vermijdbaar dierenleed moet ook echt vermeden worden. De minimumruimte moet wel bekeken worden per diersoort.;1;Maatregelen die het dierenwelzijn verhogen moeten in overleg met de sector en mits de nodige investeringssteun vanuit het Vlaams Landbouwinvesteringsfonds worden aangemoedigd zodat Vlaanderen hierin een voortrekkersrol kan spelen.;1;We bouwen industriële vleesproductie af en kiezen resoluut voor de korteketendistributie met milieu- en diervriendelijke kwekerijen. ;1;Een goede zorg voor dieren in de veeteelt houdt in dat er letterlijk ruimte moet zijn voor hun natuurlijke gedrag. De stallen moeten die ruimte zo veel als mogelijk bieden.;1;De commerciële vleesindustrie is de grootste bron van dierenleed. Landbouwdieren moeten toegang hebben tot zonlicht, buitenlucht en zoveel mogelijk soorteigen gedrag kunnen vertonen. Daarvoor is meer ruimte nodig.
Middelbare scholen moeten een vak (bijv. aardrijkskunde in het Engels) enkel in een vreemde taal kunnen aanbieden;Vak in vreemde taal;0;Scholen kunnen ervoor kiezen om een of meerdere vakken in een andere taal te onderwijzen, maar het blijft belangrijk dat dit aanbod er ook in het Nederlands is.;1;Onderwijs in een andere taal is een goede methode om de taalvaardigheid te bevorderen, het biedt voordelen tijdens latere studies en meertaligheid is een pluspunt op de arbeidsmarkt. We willen meer leerkrachten een aangepaste opleiding geven.;0;Onze partij ziet enkel brood in een gerichte en beperkte invoering van onderwijs in een andere taal in het secundair onderwijs voor de sterkere studenten die het Nederlands goed beheersen.;1;Meertaligheid is een troef. Er zijn vandaag al scholen waar extra uren in een andere taal worden gegeven, voor ons mag dat nog verder gaan. Zo werk je op hetzelfde moment aan inhoud en aan praktische talenkennis.;1;Door vakken in een vreemde taal aan te bieden versterken we de meertaligheid van onze leerlingen. ;0;Leerlingen moeten het recht behouden eender welk vak dat geen taalvak is, in het Nederlands te volgen. We mogen de verworvenheden van onze taalstrijd niet terugschroeven. ;1;Immersie-onderwijs, waarbij een vak in een andere taal gegeven wordt, kan het leren van nieuwe talen bevorderen. Meertaligheid is een sterke troef in onze samenleving.
Wie in de stad woont, moet lagere belastingen betalen;Belasting in de stad wonen;0;In elke gemeente komt het aan het bestuur toe een niveau van belastingen te vragen dat in overeenstemming is met de dienstverlening die men de burger aanbiedt.;1;De reële maatschappelijke kostprijs (voor riolering, mobiliteit, voorzieningen, energie, …) voor verspreid wonen ligt hoog.  En toch benadeelt de woonfiscaliteit vandaag het wonen in de stad. Deze situatie omkeren is niet meer dan logisch.;0;Voor sommige belastingen kan de locatie eventueel meespelen in de keuze van het belastingtarief, maar dat zal eerder uitzonderlijk zijn.;0;We maken wonen in de stadskern aantrekkelijk. Vandaag zijn centra vaak niet betaalbaar voor jonge gezinnen of alleenstaanden. Maar je moet gericht kunnen werken in de stad en daarbuiten. Steden recht tegenover landelijke gemeenten plaatsen is niet de juiste aanpak.;0;We maken verhuizen naar de stad goedkoper, en wonen, werken en leven in de stad aantrekkelijker. Belastingen heffen we zoveel mogelijk naar draagkracht.;0;De overheid moet investeringen (renovaties, vestiging van bedrijven) wel fiscaal aanmoedigen in stadswijken die te kampen hebben met sociale achterstelling, leefbaarheidsproblemen of verkrotting. ;0;Wij pleiten voor eerlijke belastingen, gebaseerd op inkomen en vermogen, niet op de woonplaats. Daarbij dragen de sterkste schouders de zwaarste lasten: minder belastingen voor de middenklasse, meer voor miljonairs en multinationals.
Als er elders bos bij komt, mogen er bossen verdwijnen voor bedrijfsterreinen;Bossen en bedrijfsterreinen;0;We streven naar een aangroei van de oppevlakte bossen. De gewestplanbestemming moet gerespecteerd worden. Een toename van bossen, moet dus niet gecompenseerd worden door extra bedrijfsterreinen in bosgebied. ;0;Vlaanderen is een bosarme regio. Bestaande bossen moeten we koesteren. Nieuwe bossen hebben niet dezelfde ecologische waarde als bestaande bossen. Er is nog voldoende ruimte voor nieuwe bedrijventerreinen.;0;Wij moeten een inhaalbeweging maken wat betreft het creëren van bijkomende bossen. Het maximaal behoud van de bestaande waardevolle bosoppervlakte is dan ook een uitgangspunt, waar slechts in zeer uitzonderlijke gevallen van kan worden afgeweken.;0;Waardevolle bossen zijn de moeite om te houden, in andere gevallen kan er wel bedrijfsterrein bijkomen als er elders gecompenseerd wordt.;0;Onze partij wil een kap-stop van bossen invoeren en extra bos aanleggen. ;1;Onze partij staat er ook voor dat de steden en gemeenten een vast percentage van hun inkomsten uit industriële activiteiten besteden aan het aanleggen en onderhouden van functionele groene ruimte op hun grondgebied.;0;Er is veel te weinig bos in Vlaanderen. Wij willen de bestaande bosgebieden daarom maximaal beschermen, en bijkomende, nieuwe bossen aanplanten.
